type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V0,0,I0020,0.0,0.0,0.0,4
V0,0,I0021,0.0,0.0,8.0,4
V0,0,I0000,0.0,4.0,0.0,3
V0,1,I0022,0.0,0.0,0.0,4
V0,1,I0023,0.0,0.0,8.0,4
V0,1,I0001,0.0,4.0,0.0,3
V0,2,I0024,0.0,0.0,0.0,4
V0,2,I0025,0.0,0.0,8.0,4
V0,2,I0002,0.0,4.0,0.0,3
V0,3,I0026,0.0,0.0,0.0,4
V0,3,I0027,0.0,0.0,8.0,4
V0,3,I0003,0.0,4.0,0.0,3
V0,4,I0028,0.0,0.0,0.0,4
V0,4,I0029,0.0,0.0,8.0,4
V0,4,I0004,0.0,4.0,0.0,3
V0,5,I0030,0.0,0.0,0.0,4
V0,5,I0031,0.0,0.0,8.0,4
V0,5,I0005,0.0,4.0,0.0,3
V0,6,I0032,0.0,0.0,0.0,4
V0,6,I0033,0.0,0.0,8.0,4
V0,6,I0006,0.0,4.0,0.0,3
V0,7,I0034,0.0,0.0,0.0,4
V0,7,I0035,0.0,0.0,8.0,4
V0,7,I0007,0.0,4.0,0.0,3
V0,8,I0036,0.0,0.0,0.0,4
V0,8,I0037,0.0,0.0,8.0,4
V0,8,I0008,0.0,4.0,0.0,3
V0,9,I0038,0.0,0.0,0.0,4
V0,9,I0039,0.0,0.0,8.0,4
V0,9,I0009,0.0,4.0,0.0,3
V0,10,I0040,0.0,0.0,0.0,4
V0,10,I0041,0.0,0.0,8.0,4
V0,10,I0010,0.0,4.0,0.0,3
V0,11,I0042,0.0,0.0,0.0,4
V0,11,I0043,0.0,0.0,8.0,4
V0,11,I0011,0.0,4.0,0.0,3
V0,12,I0044,0.0,0.0,0.0,4
V0,12,I0045,0.0,0.0,8.0,4
V0,12,I0012,0.0,4.0,0.0,3
V0,13,I0046,0.0,0.0,0.0,4
V0,13,I0047,0.0,0.0,8.0,4
V0,13,I0013,0.0,4.0,0.0,3
V0,14,I0048,0.0,0.0,0.0,4
V0,14,I0049,0.0,0.0,8.0,4
V0,14,I0014,0.0,4.0,0.0,3
V0,15,I0050,0.0,0.0,0.0,4
V0,15,I0051,0.0,0.0,8.0,4
V0,15,I0015,0.0,4.0,0.0,3
V0,16,I0052,0.0,0.0,0.0,4
V0,16,I0053,0.0,0.0,8.0,4
V0,16,I0016,0.0,4.0,0.0,3
V0,17,I0054,0.0,0.0,0.0,4
V0,17,I0055,0.0,0.0,8.0,4
V0,17,I0017,0.0,4.0,0.0,3
V0,18,I0056,0.0,0.0,0.0,4
V0,18,I0057,0.0,0.0,8.0,4
V0,18,I0018,0.0,4.0,0.0,3
V0,19,I0058,0.0,0.0,0.0,4
V0,19,I0059,0.0,0.0,8.0,4
V0,19,I0019,0.0,4.0,0.0,3
V0,20,I0060,0.0,0.0,0.0,4
V0,20,I0061,0.0,0.0,8.0,4
V0,21,I0062,0.0,0.0,0.0,4
V0,21,I0063,0.0,0.0,8.0,4
V0,22,I0064,0.0,0.0,0.0,4
V0,22,I0065,0.0,0.0,8.0,4
V0,23,I0066,0.0,0.0,0.0,4
V0,23,I0067,0.0,0.0,8.0,4
V0,24,I0068,0.0,0.0,0.0,4
V0,24,I0069,0.0,0.0,8.0,4
