type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V0,0,I0187,0.0,0.0,0.0,0
V0,0,I0649,1600.0,0.0,0.0,0
V0,0,I0164,0.0,1200.0,0.0,0
V0,0,I0219,1600.0,1200.0,0.0,0
V0,0,I0419,3200.0,0.0,0.0,1
V0,0,I1183,4400.0,0.0,0.0,1
V0,0,I0005,5600.0,0.0,0.0,1
V0,0,I0016,6800.0,0.0,0.0,1
V0,0,I0022,8000.0,0.0,0.0,1
V0,0,I0043,9200.0,0.0,0.0,1
V0,0,I0050,10400.0,0.0,0.0,1
V0,0,I0051,11600.0,0.0,0.0,1
V0,0,I0060,12800.0,0.0,0.0,1
V0,0,I0064,0.0,0.0,1350.0,0
V0,0,I0065,1600.0,0.0,1350.0,0
V0,0,I0075,0.0,1200.0,1350.0,0
V0,0,I0084,2800.0,0.0,1350.0,0
V0,0,I0091,4400.0,0.0,1350.0,0
V0,0,I0098,6000.0,0.0,1350.0,0
V0,0,I0129,7600.0,0.0,1350.0,0
V0,0,I0146,9200.0,0.0,1350.0,0
V0,0,I0173,10800.0,0.0,1350.0,0
V0,0,I0186,12000.0,0.0,1350.0,0
V0,0,I0112,3200.0,1600.0,0.0,0
V0,0,I0544,3980.0,1600.0,0.0,0
V0,0,I0982,4760.0,1600.0,0.0,0
V0,0,I0646,5540.0,1600.0,0.0,0
V0,0,I0512,6320.0,1600.0,0.0,0
V0,0,I0990,7100.0,1600.0,0.0,0
V0,0,I0387,7880.0,1600.0,0.0,0
V0,0,I0836,8660.0,1600.0,0.0,0
V0,0,I1219,9440.0,1600.0,0.0,0
V0,0,I0190,10220.0,1600.0,0.0,0
V0,0,I0946,11000.0,1600.0,0.0,0
V0,0,I0292,11780.0,1600.0,0.0,0
V0,1,I0201,0.0,0.0,0.0,0
V0,1,I0207,1600.0,0.0,0.0,0
V0,1,I0211,0.0,1200.0,0.0,0
V0,1,I0214,1600.0,1200.0,0.0,0
V0,1,I0228,3200.0,0.0,0.0,1
V0,1,I0241,4400.0,0.0,0.0,1
V0,1,I0268,5600.0,0.0,0.0,1
V0,1,I0293,6800.0,0.0,0.0,1
V0,1,I0295,8000.0,0.0,0.0,1
V0,1,I0312,9200.0,0.0,0.0,1
V0,1,I0318,10400.0,0.0,0.0,0
V0,1,I0383,11600.0,0.0,0.0,1
V0,1,I0404,12800.0,0.0,0.0,1
V0,1,I0420,0.0,0.0,1350.0,0
V0,1,I0430,1600.0,0.0,1350.0,0
V0,1,I0437,0.0,1200.0,1350.0,0
V0,1,I0442,3200.0,0.0,1350.0,0
V0,1,I0452,1600.0,1200.0,1350.0,0
V0,1,I0462,4800.0,0.0,1350.0,0
V0,1,I0465,6400.0,0.0,1350.0,0
V0,1,I0475,8000.0,0.0,1350.0,0
V0,1,I0491,9600.0,0.0,1350.0,0
V0,1,I0506,11200.0,0.0,1350.0,0
V0,1,I0518,12800.0,0.0,1350.0,1
V0,1,I0620,3200.0,1600.0,0.0,0
V0,1,I0157,3770.0,1600.0,0.0,0
V0,1,I0632,4550.0,1600.0,0.0,0
V0,1,I1167,5330.0,1600.0,0.0,0
