type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V6,0,I0872,0.0,0.0,0.0,0
V6,0,I1261,1600.0,0.0,0.0,0
V6,0,I0843,0.0,1200.0,0.0,0
V6,0,I0862,1200.0,1200.0,0.0,0
V6,1,I0220,0.0,0.0,0.0,0
V6,1,I0002,1600.0,0.0,0.0,0
V6,1,I0015,0.0,1200.0,0.0,0
V6,2,I0038,0.0,0.0,0.0,0
V6,2,I0070,1600.0,0.0,0.0,0
V6,2,I0245,0.0,1200.0,0.0,0
V6,3,I0080,0.0,0.0,0.0,0
V6,3,I0136,1600.0,0.0,0.0,0
V6,3,I0332,0.0,1200.0,0.0,0
V6,4,I0185,0.0,0.0,0.0,0
V6,4,I0190,1600.0,0.0,0.0,0
V6,4,I0354,0.0,1200.0,0.0,0
V6,5,I0209,0.0,0.0,0.0,0
V6,5,I0239,1600.0,0.0,0.0,0
V6,5,I0421,0.0,1200.0,0.0,0
V6,6,I0241,0.0,0.0,0.0,0
V6,6,I0257,1600.0,0.0,0.0,0
V6,6,I0475,0.0,1200.0,0.0,0
V6,7,I0259,0.0,0.0,0.0,0
V6,7,I0270,1600.0,0.0,0.0,0
V6,7,I0497,0.0,1200.0,0.0,0
V6,8,I0291,0.0,0.0,0.0,0
V6,8,I0298,1600.0,0.0,0.0,0
V6,8,I0576,0.0,1200.0,0.0,0
V6,9,I0315,0.0,0.0,0.0,0
V6,9,I0322,1600.0,0.0,0.0,0
V6,9,I0646,0.0,1200.0,0.0,0
V6,10,I0356,0.0,0.0,0.0,0
V6,10,I0369,1600.0,0.0,0.0,0
V6,10,I0713,0.0,1200.0,0.0,0
V6,11,I0380,0.0,0.0,0.0,0
V6,11,I0405,1600.0,0.0,0.0,0
V6,11,I0741,0.0,1200.0,0.0,0
V6,12,I0410,0.0,0.0,0.0,0
V6,12,I0420,1600.0,0.0,0.0,0
V6,12,I0759,0.0,1200.0,0.0,0
V6,13,I0422,0.0,0.0,0.0,0
V6,13,I0445,1600.0,0.0,0.0,0
V6,13,I0767,0.0,1200.0,0.0,0
V6,14,I0465,0.0,0.0,0.0,0
V6,14,I0525,1600.0,0.0,0.0,0
V6,14,I0819,0.0,1200.0,0.0,0
V6,15,I0571,0.0,0.0,0.0,0
V6,15,I0581,1600.0,0.0,0.0,0
V6,15,I0857,0.0,1200.0,0.0,0
V6,16,I0590,0.0,0.0,0.0,0
V6,16,I0632,1600.0,0.0,0.0,0
V6,16,I1059,0.0,1200.0,0.0,0
V6,17,I0637,0.0,0.0,0.0,0
V6,17,I0639,1600.0,0.0,0.0,0
V6,17,I1254,0.0,1200.0,0.0,0
V6,18,I0661,0.0,0.0,0.0,0
V6,18,I0671,1600.0,0.0,0.0,0
V6,18,I1271,0.0,1200.0,0.0,0
V6,19,I0674,0.0,0.0,0.0,0
V6,19,I0690,1600.0,0.0,0.0,0
V6,19,I1294,0.0,1200.0,0.0,0
V6,20,I0727,0.0,0.0,0.0,0
V6,20,I0732,1600.0,0.0,0.0,0
V6,20,I0895,0.0,1200.0,0.0,0
V6,20,I0928,1200.0,1200.0,0.0,0
V6,21,I0738,0.0,0.0,0.0,0
V6,21,I0743,1600.0,0.0,0.0,0
V6,21,I0942,0.0,1200.0,0.0,0
V6,21,I0971,1200.0,1200.0,0.0,0
V6,22,I0747,0.0,0.0,0.0,0
V6,22,I0769,1600.0,0.0,0.0,0
V6,22,I1005,0.0,1200.0,0.0,0
V6,22,I1021,1200.0,1200.0,0.0,0
V6,23,I0775,0.0,0.0,0.0,0
V6,23,I0784,1600.0,0.0,0.0,0
V6,23,I1039,0.0,1200.0,0.0,0
V6,23,I1042,1200.0,1200.0,0.0,0
V6,24,I0794,0.0,0.0,0.0,0
V6,24,I0808,1600.0,0.0,0.0,0
V6,24,I1051,0.0,1200.0,0.0,0
V6,24,I1055,1200.0,1200.0,0.0,0
V6,25,I0814,0.0,0.0,0.0,0
V6,25,I0816,1600.0,0.0,0.0,0
V6,25,I1085,0.0,1200.0,0.0,0
V6,25,I1109,1200.0,1200.0,0.0,0
V6,26,I0834,0.0,0.0,0.0,0
V6,26,I0848,1600.0,0.0,0.0,0
V6,26,I1117,0.0,1200.0,0.0,0
V6,26,I1141,1200.0,1200.0,0.0,0
V6,27,I0853,0.0,0.0,0.0,0
V6,27,I0855,1600.0,0.0,0.0,0
V6,27,I1147,0.0,1200.0,0.0,0
V6,27,I1152,1200.0,1200.0,0.0,0
V6,28,I0858,0.0,0.0,0.0,0
V6,28,I0869,1600.0,0.0,0.0,0
V6,28,I1258,0.0,1200.0,0.0,0
V6,28,I1265,1200.0,1200.0,0.0,0
V6,29,I0871,0.0,0.0,0.0,0
V6,29,I0923,1600.0,0.0,0.0,0
V6,29,I1282,0.0,1200.0,0.0,0
V6,29,I0009,1200.0,1200.0,0.0,0
V6,30,I0933,0.0,0.0,0.0,0
V6,30,I0963,1600.0,0.0,0.0,0
V6,30,I0063,0.0,1200.0,0.0,0
V6,30,I0169,1200.0,1200.0,0.0,0
V6,31,I0975,0.0,0.0,0.0,0
V6,31,I0983,1600.0,0.0,0.0,0
V6,31,I0311,0.0,1200.0,0.0,0
V6,31,I0331,1200.0,1200.0,0.0,0
V6,32,I0990,0.0,0.0,0.0,0
V6,32,I0991,1600.0,0.0,0.0,0
V6,32,I0355,0.0,1200.0,0.0,0
V6,32,I0502,1200.0,1200.0,0.0,0
V6,33,I1001,0.0,0.0,0.0,0
V6,33,I1013,1600.0,0.0,0.0,0
V6,33,I0593,0.0,1200.0,0.0,0
V6,33,I0611,1200.0,1200.0,0.0,0
V6,34,I1099,0.0,0.0,0.0,0
V6,34,I1100,1600.0,0.0,0.0,0
V6,34,I0669,0.0,1200.0,0.0,0
V6,34,I0811,1200.0,1200.0,0.0,0
V6,35,I1144,0.0,0.0,0.0,0
V6,35,I1145,1600.0,0.0,0.0,0
V6,35,I0864,0.0,1200.0,0.0,0
V6,35,I0911,1200.0,1200.0,0.0,0
V6,36,I1148,0.0,0.0,0.0,0
V6,36,I1161,1600.0,0.0,0.0,0
V6,36,I1107,0.0,1200.0,0.0,0
V6,36,I1114,1200.0,1200.0,0.0,0
V6,37,I1181,0.0,0.0,0.0,0
V6,37,I1186,1600.0,0.0,0.0,0
V6,37,I1285,0.0,1200.0,0.0,0
V6,38,I1188,0.0,0.0,0.0,0
V6,38,I1191,1600.0,0.0,0.0,0
V6,38,I0783,0.0,1200.0,0.0,0
V6,38,I0854,780.0,1200.0,0.0,0
V6,39,I1208,0.0,0.0,0.0,0
V6,39,I1219,1600.0,0.0,0.0,0
V6,39,I0932,0.0,1200.0,0.0,0
V6,39,I1221,780.0,1200.0,0.0,0
V6,40,I1253,0.0,0.0,0.0,0
V6,40,I1268,1600.0,0.0,0.0,0
V6,40,I0098,0.0,1200.0,0.0,0
V6,40,I0399,780.0,1200.0,0.0,0
V6,41,I1298,0.0,0.0,0.0,0
V6,41,I1299,1600.0,0.0,0.0,0
V6,41,I0703,0.0,1200.0,0.0,0
V6,41,I0856,780.0,1200.0,0.0,0
V6,42,I0011,0.0,0.0,0.0,0
V6,42,I0013,1600.0,0.0,0.0,0
V6,42,I0426,0.0,1200.0,0.0,0
V6,43,I0014,0.0,0.0,0.0,0
V6,43,I0021,1600.0,0.0,0.0,0
V6,43,I0555,0.0,1200.0,0.0,0
V6,44,I0037,0.0,0.0,0.0,0
V6,44,I0042,1600.0,0.0,0.0,0
V6,44,I0944,0.0,1200.0,0.0,0
V6,45,I0057,0.0,0.0,0.0,0
V6,45,I0069,1600.0,0.0,0.0,0
V6,45,I0010,0.0,1200.0,0.0,0
V6,46,I0072,0.0,0.0,0.0,0
V6,46,I0074,1600.0,0.0,0.0,0
V6,46,I0328,0.0,1200.0,0.0,0
V6,47,I0075,0.0,0.0,0.0,0
V6,47,I0081,1600.0,0.0,0.0,0
V6,47,I0401,0.0,1200.0,0.0,0
V6,48,I0084,0.0,0.0,0.0,0
V6,48,I0087,1600.0,0.0,0.0,0
V6,48,I0407,0.0,1200.0,0.0,0
V6,49,I0097,0.0,0.0,0.0,0
V6,49,I0105,1600.0,0.0,0.0,0
V6,49,I0435,0.0,1200.0,0.0,0
V6,50,I0153,0.0,0.0,0.0,0
V6,50,I0175,1600.0,0.0,0.0,0
V6,50,I0648,0.0,1200.0,0.0,0
V6,51,I0200,0.0,0.0,0.0,0
V6,51,I0203,1600.0,0.0,0.0,0
V6,51,I0997,0.0,1200.0,0.0,0
V6,52,I0208,0.0,0.0,0.0,0
V6,52,I0218,1600.0,0.0,0.0,0
V6,52,I1170,0.0,1200.0,0.0,0
V6,53,I0222,0.0,0.0,0.0,0
V6,53,I0225,1600.0,0.0,0.0,0
V6,53,I0029,0.0,1200.0,0.0,0
V6,54,I0233,0.0,0.0,0.0,0
V6,54,I0234,1600.0,0.0,0.0,0
V6,54,I0030,0.0,1200.0,0.0,0
V6,55,I0238,0.0,0.0,0.0,0
V6,55,I0258,1600.0,0.0,0.0,0
V6,55,I0107,0.0,1200.0,0.0,0
V6,56,I0281,0.0,0.0,0.0,0
V6,56,I0296,1600.0,0.0,0.0,0
V6,56,I0748,0.0,1200.0,0.0,0
V6,57,I0310,0.0,0.0,0.0,0
V6,57,I0320,1600.0,0.0,0.0,0
V6,57,I0898,0.0,1200.0,0.0,0
