type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V2,0,I0472,0.0,0.0,0.0,0
V2,0,I0627,2000.0,0.0,0.0,0
V2,0,I0713,0.0,1200.0,0.0,0
V2,0,I0062,4000.0,0.0,0.0,1
V2,0,I0064,5600.0,0.0,0.0,1
V2,0,I0087,7200.0,0.0,0.0,1
V2,0,I0120,8800.0,0.0,0.0,1
V2,0,I0223,10400.0,0.0,0.0,1
V2,0,I0253,12000.0,0.0,0.0,1
V2,0,I0496,2000.0,1200.0,0.0,0
V2,0,I0761,2000.0,1200.0,1295.0,0
V2,0,I0110,4000.0,0.0,1450.0,0
V2,0,I0326,5600.0,0.0,1450.0,0
V2,0,I0480,7200.0,0.0,1450.0,0
V2,0,I0673,8800.0,0.0,1450.0,0
V2,0,I0863,10400.0,0.0,1450.0,0
V2,0,I0013,12000.0,0.0,1450.0,0
V2,0,I0345,4000.0,1200.0,1450.0,0
V2,0,I0373,6350.0,1200.0,1450.0,0
V2,0,I0804,8700.0,1200.0,1450.0,0
V2,0,I0960,11050.0,1200.0,1450.0,0
V2,0,I0057,13600.0,0.0,0.0,3
V2,0,I0451,13600.0,1200.0,0.0,3
V2,0,I0550,0.0,0.0,2350.0,0
V2,0,I1095,1200.0,0.0,2350.0,0
V2,0,I0154,0.0,1000.0,2350.0,0
V2,0,I0055,2400.0,0.0,2350.0,0
V2,0,I0911,4000.0,1200.0,2400.0,0
V2,0,I0809,5200.0,1200.0,2400.0,0
V2,0,I0695,6400.0,1200.0,2400.0,0
V2,1,I0672,0.0,0.0,0.0,0
V2,1,I0910,2200.0,0.0,0.0,0
V2,1,I0987,4400.0,0.0,0.0,0
V2,1,I0988,6600.0,0.0,0.0,0
V2,1,I1140,8800.0,0.0,0.0,0
V2,1,I1160,11000.0,0.0,0.0,0
V2,1,I0724,13200.0,0.0,0.0,1
V2,1,I1296,13200.0,0.0,1295.0,1
V2,1,I0398,0.0,0.0,1450.0,0
V2,1,I0817,1800.0,0.0,1450.0,0
V2,1,I0054,3600.0,0.0,1450.0,0
V2,1,I0097,5200.0,0.0,1450.0,0
V2,1,I0104,6800.0,0.0,1450.0,0
V2,1,I0659,8400.0,0.0,1450.0,0
V2,1,I0746,10000.0,0.0,1450.0,0
V2,1,I1010,11600.0,0.0,1450.0,0
V2,1,I0201,0.0,1600.0,0.0,2
V2,1,I0503,2000.0,1600.0,0.0,2
V2,1,I1133,3200.0,1600.0,0.0,2
V2,1,I0161,4400.0,1600.0,0.0,2
V2,1,I0420,5600.0,1600.0,0.0,2
V2,1,I1004,6800.0,1600.0,0.0,2
V2,1,I0231,8000.0,1600.0,0.0,2
V2,1,I1093,9200.0,1600.0,0.0,2
