type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V6,0,I0032,0.0,0.0,0.0,0
V6,0,I0045,2000.0,0.0,0.0,0
V6,0,I0128,0.0,1200.0,0.0,0
V6,0,I0139,2000.0,1200.0,0.0,0
V6,0,I0147,4000.0,0.0,0.0,1
V6,0,I0153,5200.0,0.0,0.0,1
V6,1,I0166,0.0,0.0,0.0,0
V6,1,I0171,2000.0,0.0,0.0,0
V6,1,I0189,0.0,1200.0,0.0,0
V6,1,I0196,2000.0,1200.0,0.0,0
V6,1,I0230,4000.0,0.0,0.0,1
V6,1,I0236,5200.0,0.0,0.0,1
V6,2,I0264,0.0,0.0,0.0,0
V6,2,I0272,2000.0,0.0,0.0,0
V6,2,I0404,0.0,1200.0,0.0,0
V6,2,I0414,2000.0,1200.0,0.0,0
V6,2,I0453,4000.0,0.0,0.0,1
V6,2,I0000,5200.0,0.0,0.0,1
V6,2,I0059,5200.0,0.0,1450.0,1
V7,3,I0012,0.0,0.0,0.0,0
V7,3,I0017,2200.0,0.0,0.0,1
V7,3,I0218,0.0,0.0,1450.0,0
V7,3,I0258,1900.0,0.0,1450.0,0
V7,3,I0079,0.0,1600.0,0.0,0
V7,3,I0330,800.0,1600.0,0.0,0
V7,4,I0019,0.0,0.0,0.0,0
V7,4,I0053,2200.0,0.0,0.0,1
V7,4,I0276,0.0,0.0,1450.0,0
V7,4,I0357,1900.0,0.0,1450.0,0
V7,4,I0193,0.0,1600.0,0.0,0
V7,4,I0198,800.0,1600.0,0.0,0
V7,5,I0112,0.0,0.0,0.0,0
V7,5,I0115,2200.0,0.0,0.0,1
V7,5,I0364,0.0,0.0,1450.0,0
V7,5,I0441,1900.0,0.0,1450.0,0
V7,5,I0314,0.0,1600.0,0.0,0
V7,5,I0469,800.0,1600.0,0.0,0
V7,6,I0130,0.0,0.0,0.0,0
V7,6,I0136,2200.0,0.0,0.0,1
V7,6,I0476,0.0,0.0,1450.0,0
V7,6,I0024,1900.0,0.0,1450.0,0
V7,6,I0327,0.0,1600.0,0.0,0
V7,6,I0015,800.0,1600.0,0.0,0
V7,7,I0145,0.0,0.0,0.0,0
V7,7,I0155,2200.0,0.0,0.0,1
V7,7,I0041,0.0,0.0,1450.0,0
V7,7,I0061,1900.0,0.0,1450.0,0
V7,7,I0338,0.0,1600.0,0.0,0
V7,7,I0022,800.0,1600.0,0.0,0
V7,8,I0163,0.0,0.0,0.0,0
V7,8,I0178,2200.0,0.0,0.0,1
V7,8,I0084,0.0,0.0,1450.0,0
V7,8,I0154,1900.0,0.0,1450.0,0
V7,8,I0350,0.0,1600.0,0.0,0
V7,8,I0026,800.0,1600.0,0.0,0
V7,9,I0179,0.0,0.0,0.0,0
V7,9,I0182,2200.0,0.0,0.0,1
V7,9,I0216,0.0,0.0,1450.0,0
V7,9,I0231,1900.0,0.0,1450.0,0
V7,9,I0408,0.0,1600.0,0.0,0
V7,9,I0030,800.0,1600.0,0.0,0
V7,10,I0197,0.0,0.0,0.0,0
V7,10,I0225,2200.0,0.0,0.0,1
V7,10,I0242,0.0,0.0,1450.0,0
V7,10,I0278,1900.0,0.0,1450.0,0
V7,10,I0415,0.0,1600.0,0.0,0
V7,10,I0074,800.0,1600.0,0.0,0
V7,11,I0233,0.0,0.0,0.0,0
V7,11,I0240,2200.0,0.0,0.0,1
V7,11,I0279,0.0,0.0,1450.0,0
V7,11,I0313,1900.0,0.0,1450.0,0
V7,11,I0443,0.0,1600.0,0.0,0
V7,11,I0095,800.0,1600.0,0.0,0
V7,12,I0247,0.0,0.0,0.0,0
V7,12,I0271,2200.0,0.0,0.0,1
V7,12,I0342,0.0,0.0,1450.0,0
V7,12,I0345,1900.0,0.0,1450.0,0
V7,12,I0458,0.0,1600.0,0.0,0
V7,12,I0173,800.0,1600.0,0.0,0
V7,13,I0286,0.0,0.0,0.0,0
V7,13,I0287,2200.0,0.0,0.0,1
V7,13,I0409,0.0,0.0,1450.0,0
V7,13,I0430,1900.0,0.0,1450.0,0
V7,13,I0486,0.0,1600.0,0.0,0
V7,13,I0183,800.0,1600.0,0.0,0
V7,14,I0288,0.0,0.0,0.0,0
V7,14,I0323,2200.0,0.0,0.0,1
V7,14,I0431,0.0,0.0,1450.0,0
V7,14,I0477,1900.0,0.0,1450.0,0
V7,14,I0488,0.0,1600.0,0.0,0
V7,14,I0227,800.0,1600.0,0.0,0
V7,15,I0334,0.0,0.0,0.0,0
V7,15,I0335,2200.0,0.0,0.0,1
V7,15,I0033,0.0,0.0,1450.0,0
V7,15,I0206,1600.0,0.0,1450.0,0
V7,15,I0078,2800.0,0.0,1450.0,1
V7,15,I0056,0.0,1600.0,0.0,0
V7,16,I0361,0.0,0.0,0.0,0
V7,16,I0367,2200.0,0.0,0.0,1
V7,16,I0219,0.0,0.0,1450.0,0
V7,16,I0266,1200.0,0.0,1450.0,0
V7,16,I0444,2400.0,0.0,1450.0,0
V7,16,I0439,0.0,1600.0,0.0,0
V7,17,I0372,0.0,0.0,0.0,0
V7,17,I0382,2200.0,0.0,0.0,1
V7,17,I0092,0.0,1600.0,0.0,0
V7,17,I0254,780.0,1600.0,0.0,0
V7,18,I0389,0.0,0.0,0.0,0
V7,18,I0392,2200.0,0.0,0.0,1
V7,18,I0203,0.0,1600.0,0.0,0
V7,18,I0256,780.0,1600.0,0.0,0
V7,19,I0429,0.0,0.0,0.0,0
V7,19,I0452,2200.0,0.0,0.0,1
V7,19,I0379,0.0,1600.0,0.0,0
V7,19,I0282,780.0,1600.0,0.0,0
V7,20,I0472,0.0,0.0,0.0,0
V7,20,I0481,2200.0,0.0,0.0,1
V7,20,I0014,0.0,1600.0,0.0,0
V7,20,I0289,780.0,1600.0,0.0,0
V7,21,I0001,0.0,0.0,0.0,0
V7,21,I0004,2050.0,0.0,0.0,0
V7,21,I0461,0.0,1550.0,0.0,0
V7,21,I0064,780.0,1550.0,0.0,0
V7,22,I0020,0.0,0.0,0.0,0
V7,22,I0028,2050.0,0.0,0.0,0
V7,22,I0135,0.0,1550.0,0.0,0
V7,22,I0192,780.0,1550.0,0.0,0
V7,23,I0071,0.0,0.0,0.0,0
V7,23,I0076,2050.0,0.0,0.0,0
V7,23,I0199,0.0,1550.0,0.0,0
V7,23,I0435,780.0,1550.0,0.0,0
V7,24,I0097,0.0,0.0,0.0,0
V7,24,I0134,2050.0,0.0,0.0,0
V7,24,I0485,0.0,1550.0,0.0,0
V7,25,I0138,0.0,0.0,0.0,0
V7,25,I0144,2050.0,0.0,0.0,0
V7,26,I0215,0.0,0.0,0.0,0
V7,26,I0224,2050.0,0.0,0.0,0
V7,27,I0243,0.0,0.0,0.0,0
V7,27,I0246,2050.0,0.0,0.0,0
V7,28,I0259,0.0,0.0,0.0,0
V7,28,I0274,2050.0,0.0,0.0,0
V7,29,I0285,0.0,0.0,0.0,0
V7,29,I0296,2050.0,0.0,0.0,0
V7,30,I0301,0.0,0.0,0.0,0
V7,30,I0304,2050.0,0.0,0.0,0
V7,31,I0311,0.0,0.0,0.0,0
V7,31,I0316,2050.0,0.0,0.0,0
V7,32,I0339,0.0,0.0,0.0,0
V7,32,I0341,2050.0,0.0,0.0,0
V7,33,I0358,0.0,0.0,0.0,0
V7,33,I0386,2050.0,0.0,0.0,0
V7,34,I0416,0.0,0.0,0.0,0
V7,34,I0425,2050.0,0.0,0.0,0
V7,35,I0428,0.0,0.0,0.0,0
V7,35,I0447,2050.0,0.0,0.0,0
V7,36,I0449,0.0,0.0,0.0,0
V7,36,I0471,2050.0,0.0,0.0,0
V7,37,I0482,0.0,0.0,0.0,0
V7,37,I0495,2050.0,0.0,0.0,0
V7,38,I0191,0.0,0.0,0.0,0
V7,38,I0006,2000.0,0.0,0.0,0
V7,38,I0058,2000.0,0.0,1350.0,0
V7,39,I0204,0.0,0.0,0.0,0
V7,39,I0237,2400.0,0.0,0.0,1
V7,39,I0037,0.0,1200.0,0.0,0
V7,39,I0105,0.0,1200.0,950.0,0
V7,40,I0207,0.0,0.0,0.0,0
V7,40,I0261,2400.0,0.0,0.0,1
V7,40,I0038,0.0,1200.0,0.0,0
V7,40,I0143,0.0,1200.0,950.0,0
V7,41,I0362,0.0,0.0,0.0,0
V7,41,I0273,2400.0,0.0,0.0,1
V7,41,I0042,0.0,1200.0,0.0,0
V7,41,I0150,0.0,1200.0,950.0,0
V7,42,I0356,0.0,0.0,0.0,0
V7,42,I0385,2030.0,0.0,0.0,0
V7,42,I0211,0.0,0.0,1350.0,0
V7,42,I0050,2350.0,0.0,1350.0,0
V7,43,I0397,0.0,0.0,0.0,0
V7,43,I0046,2030.0,0.0,0.0,0
V7,43,I0336,0.0,0.0,1350.0,0
V7,43,I0291,2350.0,0.0,1350.0,0
V7,44,I0062,0.0,0.0,0.0,0
V7,44,I0083,2030.0,0.0,0.0,0
V7,44,I0474,0.0,0.0,1350.0,0
V7,44,I0418,2350.0,0.0,1350.0,0
V7,45,I0089,0.0,0.0,0.0,0
V7,45,I0107,2030.0,0.0,0.0,0
V7,45,I0489,0.0,0.0,1350.0,0
V7,45,I0398,2350.0,0.0,1350.0,0
V7,46,I0120,0.0,0.0,0.0,0
V7,46,I0129,2030.0,0.0,0.0,0
V7,47,I0149,0.0,0.0,0.0,0
V7,47,I0200,2030.0,0.0,0.0,0
V7,48,I0210,0.0,0.0,0.0,0
V7,48,I0284,2030.0,0.0,0.0,0
V7,49,I0302,0.0,0.0,0.0,0
V7,49,I0315,2030.0,0.0,0.0,0
V7,50,I0317,0.0,0.0,0.0,0
V7,50,I0319,2030.0,0.0,0.0,0
V7,51,I0332,0.0,0.0,0.0,0
V7,51,I0354,2030.0,0.0,0.0,0
V7,52,I0360,0.0,0.0,0.0,0
V7,52,I0412,2030.0,0.0,0.0,0
V7,53,I0433,0.0,0.0,0.0,0
V7,53,I0462,2030.0,0.0,0.0,0
V7,54,I0127,0.0,0.0,0.0,0
V7,54,I0152,2030.0,0.0,0.0,0
V7,54,I0217,0.0,0.0,975.0,0
V7,54,I0277,2030.0,0.0,975.0,0
V7,54,I0410,0.0,1530.0,0.0,0
V7,54,I0427,780.0,1530.0,0.0,0
V7,55,I0337,0.0,0.0,0.0,0
V7,55,I0340,2030.0,0.0,0.0,0
V7,55,I0402,0.0,0.0,975.0,0
V7,55,I0390,2030.0,0.0,975.0,0
V7,55,I0490,0.0,1530.0,0.0,0
V7,55,I0405,780.0,1530.0,0.0,0
V7,56,I0023,0.0,0.0,0.0,0
V7,56,I0109,1910.0,0.0,0.0,0
V7,56,I0137,1910.0,0.0,1020.0,0
V7,56,I0464,0.0,1200.0,0.0,0
V7,57,I0029,0.0,0.0,0.0,0
V7,57,I0205,1910.0,0.0,0.0,0
V7,57,I0483,1910.0,0.0,1020.0,0
V7,57,I0401,0.0,1200.0,0.0,0
V7,58,I0034,0.0,0.0,0.0,0
V7,58,I0228,1910.0,0.0,0.0,0
V7,58,I0420,1910.0,0.0,1020.0,0
V7,59,I0036,0.0,0.0,0.0,0
V7,59,I0267,1910.0,0.0,0.0,0
V7,59,I0343,1910.0,0.0,1020.0,0
V7,59,I0096,0.0,1200.0,0.0,0
V7,60,I0072,0.0,0.0,0.0,0
V7,60,I0321,1910.0,0.0,0.0,0
V7,60,I0310,1910.0,0.0,1020.0,0
V7,60,I0295,0.0,1200.0,0.0,0
V7,61,I0093,0.0,0.0,0.0,0
V7,61,I0325,1910.0,0.0,0.0,0
V7,61,I0044,1910.0,0.0,1020.0,0
V7,61,I0475,0.0,1200.0,0.0,0
V7,62,I0099,0.0,0.0,0.0,0
V7,62,I0411,1910.0,0.0,0.0,0
V7,62,I0087,1910.0,0.0,1020.0,0
V7,62,I0283,0.0,1200.0,0.0,0
V7,63,I0102,0.0,0.0,0.0,0
V7,63,I0457,1910.0,0.0,0.0,0
V7,63,I0118,1910.0,0.0,1020.0,0
V7,63,I0066,0.0,1200.0,0.0,0
V7,64,I0103,0.0,0.0,0.0,0
V7,64,I0459,1910.0,0.0,0.0,0
V7,64,I0142,1910.0,0.0,1020.0,0
V7,64,I0456,0.0,1200.0,0.0,0
V7,65,I0114,0.0,0.0,0.0,0
V7,65,I0463,1910.0,0.0,0.0,0
V7,65,I0251,1910.0,0.0,1020.0,0
V7,65,I0088,0.0,1200.0,0.0,0
V7,66,I0119,0.0,0.0,0.0,0
V7,66,I0465,1910.0,0.0,0.0,0
V7,66,I0269,1910.0,0.0,1020.0,0
V7,66,I0344,0.0,1200.0,0.0,0
V7,67,I0121,0.0,0.0,0.0,0
V7,67,I0466,1910.0,0.0,0.0,0
V7,67,I0346,1910.0,0.0,1020.0,0
V7,67,I0438,0.0,1200.0,0.0,0
V7,68,I0124,0.0,0.0,0.0,0
V7,68,I0467,1910.0,0.0,0.0,0
V7,68,I0455,1910.0,0.0,1020.0,0
V7,68,I0448,0.0,1200.0,0.0,0
V7,69,I0184,0.0,0.0,0.0,0
V7,69,I0491,1910.0,0.0,0.0,0
V7,69,I0473,1910.0,0.0,1020.0,0
V7,69,I0146,0.0,1200.0,0.0,0
V7,70,I0195,0.0,0.0,0.0,0
V7,70,I0009,1910.0,0.0,0.0,0
V7,70,I0460,1910.0,0.0,1020.0,0
V7,70,I0255,0.0,1200.0,0.0,0
V7,71,I0220,0.0,0.0,0.0,0
V7,71,I0013,1910.0,0.0,0.0,0
V7,71,I0470,1910.0,0.0,1020.0,0
V7,71,I0239,0.0,1200.0,0.0,0
V7,72,I0223,0.0,0.0,0.0,0
V7,72,I0025,1910.0,0.0,0.0,0
V7,72,I0498,1910.0,0.0,1020.0,0
V7,72,I0213,0.0,1200.0,0.0,0
V7,73,I0226,0.0,0.0,0.0,0
V7,73,I0067,1910.0,0.0,0.0,0
V7,73,I0011,1910.0,0.0,1020.0,0
V7,73,I0375,0.0,1200.0,0.0,0
V7,74,I0229,0.0,0.0,0.0,0
V7,74,I0070,1910.0,0.0,0.0,0
V7,74,I0051,1910.0,0.0,1020.0,0
V7,74,I0290,0.0,1200.0,0.0,0
V7,75,I0234,0.0,0.0,0.0,0
V7,75,I0073,1910.0,0.0,0.0,0
V7,75,I0052,1910.0,0.0,1020.0,0
V7,76,I0241,0.0,0.0,0.0,0
V7,76,I0081,1910.0,0.0,0.0,0
V7,76,I0057,1910.0,0.0,1020.0,0
V7,77,I0245,0.0,0.0,0.0,0
V7,77,I0104,1910.0,0.0,0.0,0
V7,77,I0080,1910.0,0.0,1020.0,0
V7,78,I0270,0.0,0.0,0.0,0
V7,78,I0111,1910.0,0.0,0.0,0
V7,78,I0148,1910.0,0.0,1020.0,0
V7,79,I0320,0.0,0.0,0.0,0
V7,79,I0116,1910.0,0.0,0.0,0
V7,79,I0167,1910.0,0.0,1020.0,0
V7,80,I0326,0.0,0.0,0.0,0
V7,80,I0122,1910.0,0.0,0.0,0
V7,80,I0185,1910.0,0.0,1020.0,0
V7,81,I0347,0.0,0.0,0.0,0
V7,81,I0126,1910.0,0.0,0.0,0
V7,81,I0214,1910.0,0.0,1020.0,0
V7,82,I0351,0.0,0.0,0.0,0
V7,82,I0133,1910.0,0.0,0.0,0
V7,82,I0221,1910.0,0.0,1020.0,0
V7,83,I0353,0.0,0.0,0.0,0
V7,83,I0156,1910.0,0.0,0.0,0
V7,83,I0222,1910.0,0.0,1020.0,0
V7,84,I0363,0.0,0.0,0.0,0
V7,84,I0158,1910.0,0.0,0.0,0
V7,84,I0235,1910.0,0.0,1020.0,0
V7,85,I0368,0.0,0.0,0.0,0
V7,85,I0161,1910.0,0.0,0.0,0
V7,85,I0249,1910.0,0.0,1020.0,0
V7,86,I0370,0.0,0.0,0.0,0
V7,86,I0175,1910.0,0.0,0.0,0
V7,86,I0260,1910.0,0.0,1020.0,0
V7,87,I0403,0.0,0.0,0.0,0
V7,87,I0201,1910.0,0.0,0.0,0
V7,87,I0275,1910.0,0.0,1020.0,0
V7,88,I0413,0.0,0.0,0.0,0
V7,88,I0202,1910.0,0.0,0.0,0
V7,88,I0280,1910.0,0.0,1020.0,0
V7,89,I0419,0.0,0.0,0.0,0
V7,89,I0209,1910.0,0.0,0.0,0
V7,89,I0281,1910.0,0.0,1020.0,0
V7,90,I0426,0.0,0.0,0.0,0
V7,90,I0257,1910.0,0.0,0.0,0
V7,90,I0299,1910.0,0.0,1020.0,0
V7,91,I0437,0.0,0.0,0.0,0
V7,91,I0293,1910.0,0.0,0.0,0
V7,91,I0307,1910.0,0.0,1020.0,0
V7,92,I0451,0.0,0.0,0.0,0
V7,92,I0300,1910.0,0.0,0.0,0
V7,92,I0331,1910.0,0.0,1020.0,0
V7,93,I0478,0.0,0.0,0.0,0
V7,93,I0303,1910.0,0.0,0.0,0
V7,93,I0355,1910.0,0.0,1020.0,0
V7,94,I0479,0.0,0.0,0.0,0
V7,94,I0306,1910.0,0.0,0.0,0
V7,94,I0365,1910.0,0.0,1020.0,0
V7,95,I0493,0.0,0.0,0.0,0
V7,95,I0329,1910.0,0.0,0.0,0
V7,95,I0377,1910.0,0.0,1020.0,0
V7,96,I0497,0.0,0.0,0.0,0
V7,96,I0359,1910.0,0.0,0.0,0
V7,96,I0396,1910.0,0.0,1020.0,0
V7,97,I0063,0.0,0.0,0.0,0
V7,97,I0039,1800.0,0.0,0.0,0
V7,97,I0176,0.0,0.0,1350.0,0
V7,98,I0098,0.0,0.0,0.0,0
V7,98,I0065,1800.0,0.0,0.0,0
V7,98,I0018,0.0,0.0,1350.0,0
V7,99,I0131,0.0,0.0,0.0,0
V7,99,I0140,1800.0,0.0,0.0,0
V7,99,I0268,0.0,0.0,1350.0,0
V7,100,I0169,0.0,0.0,0.0,0
V7,100,I0383,1800.0,0.0,0.0,0
V7,100,I0110,0.0,0.0,1350.0,0
V7,101,I0322,0.0,0.0,0.0,0
V7,101,I0100,1800.0,0.0,0.0,0
V7,101,I0294,0.0,0.0,1350.0,0
V7,102,I0380,0.0,0.0,0.0,0
V7,102,I0160,1800.0,0.0,0.0,0
V7,102,I0394,0.0,0.0,1350.0,0
V7,103,I0387,0.0,0.0,0.0,0
V7,103,I0168,1800.0,0.0,0.0,0
V7,103,I0077,0.0,1200.0,0.0,0
V7,104,I0399,0.0,0.0,0.0,0
V7,104,I0366,1800.0,0.0,0.0,0
V7,104,I0159,0.0,1200.0,0.0,0
V7,105,I0442,0.0,0.0,0.0,0
V7,105,I0027,1800.0,0.0,0.0,0
V7,106,I0007,0.0,0.0,0.0,0
V7,106,I0021,1400.0,0.0,0.0,0
V7,106,I0125,0.0,1200.0,0.0,0
V7,106,I0016,2800.0,0.0,0.0,1
V7,107,I0043,0.0,0.0,0.0,0
V7,107,I0047,1400.0,0.0,0.0,0
V7,107,I0180,0.0,1200.0,0.0,0
V7,107,I0054,2800.0,0.0,0.0,1
V7,108,I0048,0.0,0.0,0.0,0
V7,108,I0049,1400.0,0.0,0.0,0
V7,108,I0238,0.0,1200.0,0.0,0
V7,108,I0060,2800.0,0.0,0.0,1
V7,109,I0068,0.0,0.0,0.0,0
V7,109,I0091,1400.0,0.0,0.0,0
V7,109,I0244,0.0,1200.0,0.0,0
V7,109,I0132,2800.0,0.0,0.0,1
V7,110,I0094,0.0,0.0,0.0,0
V7,110,I0101,1400.0,0.0,0.0,0
V7,110,I0250,0.0,1200.0,0.0,0
V7,110,I0141,2800.0,0.0,0.0,1
V7,111,I0108,0.0,0.0,0.0,0
V7,111,I0113,1400.0,0.0,0.0,0
V7,111,I0265,0.0,1200.0,0.0,0
V7,111,I0297,2800.0,0.0,0.0,1
V7,112,I0123,0.0,0.0,0.0,0
V7,112,I0177,1400.0,0.0,0.0,0
V7,112,I0298,0.0,1200.0,0.0,0
V7,112,I0309,2800.0,0.0,0.0,1
V7,113,I0181,0.0,0.0,0.0,0
V7,113,I0186,1400.0,0.0,0.0,0
V7,113,I0432,0.0,1200.0,0.0,0
V7,113,I0348,2800.0,0.0,0.0,1
V7,114,I0187,0.0,0.0,0.0,0
V7,114,I0188,1400.0,0.0,0.0,0
V7,114,I0445,0.0,1200.0,0.0,0
V7,114,I0373,2800.0,0.0,0.0,1
V7,115,I0190,0.0,0.0,0.0,0
V7,115,I0194,1400.0,0.0,0.0,0
V7,115,I0487,0.0,1200.0,0.0,0
V7,115,I0407,2800.0,0.0,0.0,1
V7,116,I0212,0.0,0.0,0.0,0
V7,116,I0248,1400.0,0.0,0.0,0
V7,116,I0082,0.0,1200.0,0.0,0
V7,116,I0417,2800.0,0.0,0.0,1
V7,117,I0253,0.0,0.0,0.0,0
V7,117,I0305,1400.0,0.0,0.0,0
V7,117,I0157,0.0,1200.0,0.0,0
V7,117,I0454,2800.0,0.0,0.0,1
V7,118,I0324,0.0,0.0,0.0,0
V7,118,I0333,1400.0,0.0,0.0,0
V7,118,I0162,0.0,1200.0,0.0,0
V7,118,I0492,2800.0,0.0,0.0,1
V7,119,I0352,0.0,0.0,0.0,0
V7,119,I0369,1400.0,0.0,0.0,0
V7,119,I0262,0.0,1200.0,0.0,0
V7,119,I0494,2800.0,0.0,0.0,1
V7,120,I0374,0.0,0.0,0.0,0
V7,120,I0376,1400.0,0.0,0.0,0
V7,120,I0292,0.0,1200.0,0.0,0
V7,120,I0035,2800.0,0.0,0.0,1
V7,121,I0378,0.0,0.0,0.0,0
V7,121,I0381,1400.0,0.0,0.0,0
V7,121,I0384,0.0,1200.0,0.0,0
V7,121,I0391,2800.0,0.0,0.0,1
V7,122,I0388,0.0,0.0,0.0,0
V7,122,I0421,1400.0,0.0,0.0,0
V7,122,I0400,0.0,1200.0,0.0,0
