type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V6,0,I0009,0.0,0.0,0.0,0
V6,0,I0014,950.0,0.0,0.0,0
V6,0,I0015,0.0,800.0,0.0,0
V6,0,I0029,950.0,800.0,0.0,0
V6,0,I0031,1900.0,0.0,0.0,0
V6,0,I0033,1900.0,800.0,0.0,0
V6,1,I0042,0.0,0.0,0.0,0
V6,1,I0044,950.0,0.0,0.0,0
V6,1,I0045,0.0,800.0,0.0,0
V6,1,I0047,950.0,800.0,0.0,0
V6,1,I0000,1900.0,0.0,0.0,0
V6,1,I0004,1900.0,800.0,0.0,0
V6,1,I0010,2850.0,0.0,0.0,0
V6,1,I0011,2850.0,800.0,0.0,0
V6,2,I0013,0.0,0.0,0.0,0
V6,2,I0019,950.0,0.0,0.0,0
V6,2,I0020,0.0,800.0,0.0,0
V6,2,I0021,950.0,800.0,0.0,0
V6,2,I0022,1900.0,0.0,0.0,0
V6,2,I0025,1900.0,800.0,0.0,0
V6,2,I0034,2850.0,0.0,0.0,0
V6,2,I0035,2850.0,800.0,0.0,0
V6,2,I0038,0.0,0.0,1100.0,0
V6,2,I0040,950.0,0.0,1100.0,0
V6,2,I0041,0.0,800.0,1100.0,0
V6,2,I0018,1900.0,0.0,1100.0,0
V6,3,I0001,0.0,0.0,0.0,1
V6,3,I0005,1200.0,0.0,0.0,1
V6,3,I0008,0.0,800.0,0.0,1
V6,3,I0012,1200.0,800.0,0.0,1
V6,4,I0016,0.0,0.0,0.0,1
V6,4,I0017,1200.0,0.0,0.0,1
V6,4,I0027,0.0,800.0,0.0,1
V6,4,I0028,1200.0,800.0,0.0,1
V6,5,I0036,0.0,0.0,0.0,1
V6,5,I0037,1200.0,0.0,0.0,1
V6,5,I0043,0.0,800.0,0.0,1
V6,5,I0046,1200.0,800.0,0.0,1
V6,6,I0048,0.0,0.0,0.0,1
V6,6,I0049,1200.0,0.0,0.0,1
V6,6,I0002,0.0,800.0,0.0,1
V6,6,I0003,1200.0,800.0,0.0,1
V6,6,I0006,2400.0,0.0,0.0,0
V6,6,I0007,3200.0,0.0,0.0,0
V6,7,I0023,0.0,0.0,0.0,1
V6,7,I0024,1200.0,0.0,0.0,1
V6,7,I0026,0.0,800.0,0.0,1
V6,7,I0030,1200.0,800.0,0.0,1
V6,7,I0032,2400.0,0.0,0.0,0
V6,7,I0039,3200.0,0.0,0.0,0
