type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V6,0,I0158,0.0,0.0,0.0,0
V6,0,I0474,1500.0,0.0,0.0,0
V6,1,I0204,0.0,0.0,0.0,0
V6,1,I0663,1500.0,0.0,0.0,0
V6,2,I0370,0.0,0.0,0.0,0
V6,2,I0127,1500.0,0.0,0.0,0
V6,3,I0485,0.0,0.0,0.0,0
V6,3,I0735,1500.0,0.0,0.0,0
V6,4,I0308,0.0,0.0,0.0,0
V6,4,I0279,1500.0,0.0,0.0,0
V6,5,I0599,0.0,0.0,0.0,0
V6,5,I0651,1500.0,0.0,0.0,0
V6,6,I0140,0.0,0.0,0.0,0
V6,6,I0632,1500.0,0.0,0.0,0
V6,7,I0334,0.0,0.0,0.0,0
V6,7,I0542,1500.0,0.0,0.0,0
V6,8,I0613,0.0,0.0,0.0,0
V6,8,I0507,1500.0,0.0,0.0,0
V6,9,I0389,0.0,0.0,0.0,0
V6,9,I0054,1500.0,0.0,0.0,0
V6,10,I0580,0.0,0.0,0.0,0
V6,10,I0721,1500.0,0.0,0.0,0
V6,11,I0720,0.0,0.0,0.0,0
V6,11,I0543,1500.0,0.0,0.0,0
V6,12,I0629,0.0,0.0,0.0,0
V6,12,I0412,1500.0,0.0,0.0,0
V6,13,I0592,0.0,0.0,0.0,0
V6,13,I0578,1500.0,0.0,0.0,0
V6,14,I0270,0.0,0.0,0.0,0
V6,14,I0494,1500.0,0.0,0.0,0
V6,15,I0746,0.0,0.0,0.0,0
V6,15,I0090,1500.0,0.0,0.0,0
V6,16,I0077,0.0,0.0,0.0,0
V6,16,I0644,1500.0,0.0,0.0,0
V6,17,I0559,0.0,0.0,0.0,0
V6,17,I0541,1500.0,0.0,0.0,0
V6,18,I0762,0.0,0.0,0.0,0
V6,18,I0331,1500.0,0.0,0.0,0
V6,19,I0251,0.0,0.0,0.0,0
V6,19,I0284,1500.0,0.0,0.0,0
V6,20,I0221,0.0,0.0,0.0,0
V6,20,I0037,1500.0,0.0,0.0,0
V6,21,I0427,0.0,0.0,0.0,0
V6,21,I0283,1500.0,0.0,0.0,0
V6,22,I0547,0.0,0.0,0.0,0
V6,22,I0232,1500.0,0.0,0.0,0
V6,23,I0105,0.0,0.0,0.0,0
V6,23,I0215,1500.0,0.0,0.0,0
V6,24,I0173,0.0,0.0,0.0,0
V6,24,I0131,1500.0,0.0,0.0,0
V6,25,I0366,0.0,0.0,0.0,0
V6,25,I0777,1500.0,0.0,0.0,0
V6,26,I0138,0.0,0.0,0.0,0
V6,26,I0693,1500.0,0.0,0.0,0
V6,27,I0532,0.0,0.0,0.0,0
V6,27,I0066,1500.0,0.0,0.0,0
V6,28,I0007,0.0,0.0,0.0,0
V6,28,I0612,1500.0,0.0,0.0,0
V6,29,I0322,0.0,0.0,0.0,0
V6,29,I0005,1500.0,0.0,0.0,0
V6,30,I0185,0.0,0.0,0.0,0
V6,30,I0269,1500.0,0.0,0.0,0
V6,31,I0139,0.0,0.0,0.0,0
V6,31,I0293,1500.0,0.0,0.0,0
V6,32,I0281,0.0,0.0,0.0,0
V6,32,I0165,1500.0,0.0,0.0,0
V6,33,I0534,0.0,0.0,0.0,0
V6,33,I0110,1500.0,0.0,0.0,0
V6,34,I0122,0.0,0.0,0.0,0
V6,34,I0792,1500.0,0.0,0.0,0
V6,35,I0687,0.0,0.0,0.0,0
V6,35,I0501,1500.0,0.0,0.0,0
V6,36,I0329,0.0,0.0,0.0,0
V6,36,I0260,1500.0,0.0,0.0,0
V6,37,I0245,0.0,0.0,0.0,0
V6,37,I0689,1500.0,0.0,0.0,0
V6,38,I0624,0.0,0.0,0.0,0
V6,38,I0312,1500.0,0.0,0.0,0
V6,38,I0111,0.0,1000.0,0.0,0
V6,39,I0765,0.0,0.0,0.0,0
V6,39,I0386,1500.0,0.0,0.0,0
V6,39,I0704,0.0,1000.0,0.0,0
V6,40,I0407,0.0,0.0,0.0,0
V6,40,I0504,1500.0,0.0,0.0,0
V6,40,I0053,0.0,1000.0,0.0,0
V6,41,I0682,0.0,0.0,0.0,0
V6,41,I0212,1500.0,0.0,0.0,0
V6,41,I0463,0.0,1000.0,0.0,0
V6,42,I0112,0.0,0.0,0.0,0
V6,42,I0779,1500.0,0.0,0.0,0
V6,42,I0286,0.0,1000.0,0.0,0
V6,43,I0106,0.0,0.0,0.0,0
V6,43,I0188,1500.0,0.0,0.0,0
V6,43,I0320,0.0,1000.0,0.0,0
V6,44,I0745,0.0,0.0,0.0,0
V6,44,I0371,1500.0,0.0,0.0,0
V6,44,I0203,0.0,1000.0,0.0,0
V6,45,I0734,0.0,0.0,0.0,0
V6,45,I0014,1500.0,0.0,0.0,0
V6,45,I0217,0.0,1000.0,0.0,0
V6,46,I0449,0.0,0.0,0.0,0
V6,46,I0368,1500.0,0.0,0.0,0
V6,46,I0692,0.0,1000.0,0.0,0
V6,47,I0768,0.0,0.0,0.0,0
