type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V6,0,I0614,0.0,0.0,0.0,0
V6,0,I0000,1500.0,0.0,0.0,0
V6,0,I0678,0.0,1000.0,0.0,0
V6,0,I0684,1500.0,1000.0,0.0,0
V6,0,I0261,3000.0,0.0,0.0,0
V6,1,I0635,0.0,0.0,0.0,0
V6,1,I0001,1500.0,0.0,0.0,0
V6,1,I0708,0.0,1000.0,0.0,0
V6,1,I0709,1500.0,1000.0,0.0,0
V6,1,I0413,3000.0,0.0,0.0,0
V6,2,I0857,0.0,0.0,0.0,0
V6,2,I0008,1500.0,0.0,0.0,0
V6,2,I0713,0.0,1000.0,0.0,0
V6,2,I0721,1500.0,1000.0,0.0,0
V6,2,I0788,3000.0,0.0,0.0,0
V6,3,I0104,0.0,0.0,0.0,0
V6,3,I0010,1500.0,0.0,0.0,0
V6,3,I0725,0.0,1000.0,0.0,0
V6,3,I0731,1500.0,1000.0,0.0,0
V6,3,I0125,3000.0,0.0,0.0,0
V6,4,I0656,0.0,0.0,0.0,0
V6,4,I0016,1500.0,0.0,0.0,0
V6,4,I0743,0.0,1000.0,0.0,0
V6,4,I0745,1500.0,1000.0,0.0,0
V6,4,I0584,3000.0,0.0,0.0,0
V6,5,I0458,0.0,0.0,0.0,0
V6,5,I0017,1500.0,0.0,0.0,0
V6,5,I0746,0.0,1000.0,0.0,0
V6,5,I0752,1500.0,1000.0,0.0,0
V6,5,I0210,3000.0,0.0,0.0,0
V6,6,I0316,0.0,0.0,0.0,0
V6,6,I0020,1500.0,0.0,0.0,0
V6,6,I0763,0.0,1000.0,0.0,0
V6,6,I0766,1500.0,1000.0,0.0,0
V6,6,I0922,3000.0,0.0,0.0,0
V6,7,I0975,0.0,0.0,0.0,0
V6,7,I0023,1500.0,0.0,0.0,0
V6,7,I0781,0.0,1000.0,0.0,0
V6,7,I0784,1500.0,1000.0,0.0,0
V6,7,I0700,3000.0,0.0,0.0,0
V6,8,I0909,0.0,0.0,0.0,0
V6,8,I0025,1500.0,0.0,0.0,0
