type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V7,0,I0947,0.0,0.0,0.0,0
V7,0,I0104,1500.0,0.0,0.0,0
V7,0,I0591,0.0,1000.0,0.0,0
V7,1,I1212,0.0,0.0,0.0,0
V7,1,I0055,1500.0,0.0,0.0,0
V7,1,I0735,0.0,1000.0,0.0,0
V7,2,I0571,0.0,0.0,0.0,0
V7,2,I0750,1500.0,0.0,0.0,0
V7,2,I1157,0.0,1000.0,0.0,0
V7,3,I0289,0.0,0.0,0.0,0
V7,3,I1827,1500.0,0.0,0.0,0
V7,3,I1220,0.0,1000.0,0.0,0
V7,4,I0880,0.0,0.0,0.0,0
V7,4,I0413,1500.0,0.0,0.0,0
V7,4,I1330,0.0,1000.0,0.0,0
V7,5,I1268,0.0,0.0,0.0,0
V7,5,I0505,1500.0,0.0,0.0,0
V7,5,I1413,0.0,1000.0,0.0,0
V7,6,I1786,0.0,0.0,0.0,0
V7,6,I0365,1500.0,0.0,0.0,0
V7,6,I1500,0.0,1000.0,0.0,0
V7,7,I1294,0.0,0.0,0.0,0
V7,7,I1338,1500.0,0.0,0.0,0
V7,7,I1573,0.0,1000.0,0.0,0
V7,8,I1485,0.0,0.0,0.0,0
V7,8,I0250,1500.0,0.0,0.0,0
V7,8,I1590,0.0,1000.0,0.0,0
V7,9,I0391,0.0,0.0,0.0,0
V7,9,I0753,1500.0,0.0,0.0,0
V7,9,I1597,0.0,1000.0,0.0,0
V7,10,I0275,0.0,0.0,0.0,0
V7,10,I1153,1500.0,0.0,0.0,0
V7,10,I1604,0.0,1000.0,0.0,0
V7,11,I0387,0.0,0.0,0.0,0
V7,11,I0097,1500.0,0.0,0.0,0
V7,11,I1616,0.0,1000.0,0.0,0
V7,12,I1239,0.0,0.0,0.0,0
V7,12,I0665,1500.0,0.0,0.0,0
V7,12,I1631,0.0,1000.0,0.0,0
V7,13,I0625,0.0,0.0,0.0,0
V7,13,I1132,1500.0,0.0,0.0,0
V7,13,I1772,0.0,1000.0,0.0,0
V7,14,I1788,0.0,0.0,0.0,0
V7,14,I0668,1500.0,0.0,0.0,0
V7,14,I1782,0.0,1000.0,0.0,0
V7,15,I0903,0.0,0.0,0.0,0
V7,15,I0461,1500.0,0.0,0.0,0
V7,15,I1852,0.0,1000.0,0.0,0
V7,16,I1528,0.0,0.0,0.0,0
V7,16,I0406,1500.0,0.0,0.0,0
V7,16,I1970,0.0,1000.0,0.0,0
V7,17,I0039,0.0,0.0,0.0,0
V7,17,I0689,1500.0,0.0,0.0,0
V7,18,I1086,0.0,0.0,0.0,0
V7,18,I0465,1500.0,0.0,0.0,0
V7,19,I1202,0.0,0.0,0.0,0
V7,19,I1670,1500.0,0.0,0.0,0
V7,20,I1324,0.0,0.0,0.0,0
V7,20,I0323,1500.0,0.0,0.0,0
V7,21,I0150,0.0,0.0,0.0,0
V7,21,I0910,1500.0,0.0,0.0,0
V7,21,I0730,0.0,1000.0,0.0,0
V7,22,I1007,0.0,0.0,0.0,0
V7,22,I0213,1500.0,0.0,0.0,0
V7,22,I0363,0.0,1000.0,0.0,0
V7,23,I1633,0.0,0.0,0.0,0
V7,23,I1526,1500.0,0.0,0.0,0
V7,23,I1197,0.0,1000.0,0.0,0
V7,24,I1801,0.0,0.0,0.0,0
V7,24,I0534,1500.0,0.0,0.0,0
V7,24,I1938,0.0,1000.0,0.0,0
V7,25,I0721,0.0,0.0,0.0,0
V7,25,I0883,1500.0,0.0,0.0,0
V7,25,I1610,0.0,1000.0,0.0,0
V7,26,I0101,0.0,0.0,0.0,0
V7,26,I0110,1500.0,0.0,0.0,0
V7,26,I0398,0.0,1000.0,0.0,0
V7,27,I0631,0.0,0.0,0.0,0
V7,27,I0773,1500.0,0.0,0.0,0
V7,27,I0663,0.0,1000.0,0.0,0
V7,27,I0245,1200.0,1000.0,0.0,0
V7,28,I0236,0.0,0.0,0.0,0
V7,28,I1742,1500.0,0.0,0.0,0
V7,28,I1579,0.0,1000.0,0.0,0
V7,28,I0004,1500.0,1000.0,0.0,0
V7,29,I1182,0.0,0.0,0.0,0
V7,29,I1701,1500.0,0.0,0.0,0
V7,29,I0301,0.0,1000.0,0.0,0
V7,30,I1020,0.0,0.0,0.0,0
V7,30,I1356,1500.0,0.0,0.0,0
V7,30,I1244,0.0,1000.0,0.0,0
V7,30,I0044,1500.0,1000.0,0.0,0
V7,31,I1947,0.0,0.0,0.0,0
V7,31,I1350,1500.0,0.0,0.0,0
V7,31,I0285,0.0,1000.0,0.0,0
V7,31,I0311,1500.0,1000.0,0.0,0
V7,32,I0840,0.0,0.0,0.0,0
V7,32,I1257,1500.0,0.0,0.0,0
V7,32,I0215,0.0,1000.0,0.0,0
V7,32,I0315,1500.0,1000.0,0.0,0
V7,33,I0776,0.0,0.0,0.0,0
V7,33,I1320,1500.0,0.0,0.0,0
V7,33,I0917,0.0,1000.0,0.0,0
V7,33,I0346,1500.0,1000.0,0.0,0
V7,34,I0968,0.0,0.0,0.0,0
V7,34,I1418,1500.0,0.0,0.0,0
V7,34,I1600,0.0,1000.0,0.0,0
V7,34,I0456,1500.0,1000.0,0.0,0
V7,35,I1241,0.0,0.0,0.0,0
V7,35,I0656,1500.0,0.0,0.0,0
V7,35,I0280,0.0,1000.0,0.0,0
V7,35,I0466,1500.0,1000.0,0.0,0
V7,36,I0609,0.0,0.0,0.0,0
V7,36,I0179,1500.0,0.0,0.0,0
V7,36,I0581,0.0,1000.0,0.0,0
V7,36,I0628,1500.0,1000.0,0.0,0
V7,37,I0784,0.0,0.0,0.0,0
V7,37,I1870,1500.0,0.0,0.0,0
V7,37,I0266,0.0,1000.0,0.0,0
V7,37,I0636,1500.0,1000.0,0.0,0
V7,38,I0121,0.0,0.0,0.0,0
V7,38,I0468,1500.0,0.0,0.0,0
V7,38,I0616,0.0,1000.0,0.0,0
V7,38,I0724,1500.0,1000.0,0.0,0
V7,39,I1480,0.0,0.0,0.0,0
V7,39,I1658,1500.0,0.0,0.0,0
V7,39,I1759,0.0,1000.0,0.0,0
V7,39,I0826,1500.0,1000.0,0.0,0
V7,40,I0603,0.0,0.0,0.0,0
V7,40,I0427,1500.0,0.0,0.0,0
V7,40,I1980,0.0,1000.0,0.0,0
V7,40,I0862,1500.0,1000.0,0.0,0
V7,41,I1468,0.0,0.0,0.0,0
V7,41,I0744,1500.0,0.0,0.0,0
V7,41,I1955,0.0,1000.0,0.0,0
V7,41,I0894,1500.0,1000.0,0.0,0
V7,42,I0782,0.0,0.0,0.0,0
V7,42,I0796,1500.0,0.0,0.0,0
V7,42,I1641,0.0,1000.0,0.0,0
V7,42,I0912,1500.0,1000.0,0.0,0
V7,43,I1679,0.0,0.0,0.0,0
V7,43,I0479,1500.0,0.0,0.0,0
V7,43,I1664,0.0,1000.0,0.0,0
V7,43,I0939,1500.0,1000.0,0.0,0
V7,44,I1739,0.0,0.0,0.0,0
V7,44,I1124,1500.0,0.0,0.0,0
V7,44,I1757,0.0,1000.0,0.0,0
V7,44,I1001,1500.0,1000.0,0.0,0
V7,45,I1817,0.0,0.0,0.0,0
V7,45,I1985,1500.0,0.0,0.0,0
V7,45,I0914,0.0,1000.0,0.0,0
V7,45,I1036,1500.0,1000.0,0.0,0
V7,46,I0360,0.0,0.0,0.0,0
V7,46,I1181,1500.0,0.0,0.0,0
V7,46,I0238,0.0,1000.0,0.0,0
V7,46,I1111,1500.0,1000.0,0.0,0
V7,47,I1926,0.0,0.0,0.0,0
V7,47,I1954,1500.0,0.0,0.0,0
V7,47,I0722,0.0,1000.0,0.0,0
V7,47,I1122,1500.0,1000.0,0.0,0
V7,48,I0348,0.0,0.0,0.0,0
V7,48,I0610,1500.0,0.0,0.0,0
V7,48,I0277,0.0,1000.0,0.0,0
V7,48,I1165,1500.0,1000.0,0.0,0
V7,49,I0042,0.0,0.0,0.0,0
V7,49,I1949,1500.0,0.0,0.0,0
V7,49,I0176,0.0,1000.0,0.0,0
V7,49,I1193,1500.0,1000.0,0.0,0
V7,50,I0022,0.0,0.0,0.0,0
V7,50,I0306,1500.0,0.0,0.0,0
V7,50,I0874,0.0,1000.0,0.0,0
V7,50,I1593,1500.0,1000.0,0.0,0
V7,51,I1834,0.0,0.0,0.0,0
V7,51,I1627,1500.0,0.0,0.0,0
V7,51,I0889,0.0,1000.0,0.0,0
V7,51,I1665,1500.0,1000.0,0.0,0
V7,52,I1521,0.0,0.0,0.0,0
V7,52,I0497,1500.0,0.0,0.0,0
V7,52,I0006,0.0,1000.0,0.0,0
V7,52,I1693,1500.0,1000.0,0.0,0
V7,53,I1789,0.0,0.0,0.0,0
V7,53,I0780,1500.0,0.0,0.0,0
V7,53,I0715,0.0,1000.0,0.0,0
V7,53,I1770,1500.0,1000.0,0.0,0
V7,54,I1681,0.0,0.0,0.0,0
V7,54,I1008,1500.0,0.0,0.0,0
V7,54,I1143,0.0,1000.0,0.0,0
V7,54,I1779,1500.0,1000.0,0.0,0
V7,55,I0422,0.0,0.0,0.0,0
V7,55,I0002,1500.0,0.0,0.0,0
V7,55,I0193,0.0,1000.0,0.0,0
V7,55,I1079,1500.0,1000.0,0.0,0
V7,56,I0477,0.0,0.0,0.0,0
V7,56,I0592,1500.0,0.0,0.0,0
V7,56,I0010,0.0,1000.0,0.0,0
V7,56,I1217,1500.0,1000.0,0.0,0
V7,57,I0637,0.0,0.0,0.0,0
V7,57,I0235,1500.0,0.0,0.0,0
V7,57,I1843,0.0,1000.0,0.0,0
V7,57,I1254,1500.0,1000.0,0.0,0
V7,58,I1895,0.0,0.0,0.0,0
V7,58,I0932,1500.0,0.0,0.0,0
V7,58,I0899,0.0,1000.0,0.0,0
V7,58,I1362,1500.0,1000.0,0.0,0
V7,59,I1345,0.0,0.0,0.0,0
V7,59,I0432,1500.0,0.0,0.0,0
V7,59,I1565,0.0,1000.0,0.0,0
V7,59,I1378,1500.0,1000.0,0.0,0
V7,60,I0614,0.0,0.0,0.0,0
V7,60,I0417,1500.0,0.0,0.0,0
V7,60,I1731,0.0,1000.0,0.0,0
V7,60,I1381,1500.0,1000.0,0.0,0
V7,60,I0160,3000.0,0.0,0.0,0
V7,61,I0423,0.0,0.0,0.0,0
V7,61,I1041,1500.0,0.0,0.0,0
V7,61,I0060,0.0,1000.0,0.0,0
V7,61,I1393,1500.0,1000.0,0.0,0
V7,61,I0126,3000.0,0.0,0.0,0
V7,62,I0314,0.0,0.0,0.0,0
V7,62,I0356,1500.0,0.0,0.0,0
V7,62,I0084,0.0,1000.0,0.0,0
V7,62,I1535,1500.0,1000.0,0.0,0
V7,62,I1582,3000.0,0.0,0.0,1
V7,63,I1352,0.0,0.0,0.0,0
V7,63,I0135,1500.0,0.0,0.0,0
V7,63,I0584,0.0,1000.0,0.0,0
V7,63,I1035,1500.0,1000.0,0.0,0
V7,64,I1578,0.0,0.0,0.0,0
V7,64,I1745,1500.0,0.0,0.0,0
V7,64,I1807,0.0,1000.0,0.0,0
V7,64,I1726,1500.0,1000.0,0.0,0
V7,64,I0913,3000.0,0.0,0.0,3
V7,65,I1511,0.0,0.0,0.0,0
V7,65,I1531,1500.0,0.0,0.0,0
V7,65,I1155,0.0,1000.0,0.0,0
V7,65,I1334,1500.0,1000.0,0.0,0
V7,66,I0576,0.0,0.0,0.0,0
V7,66,I1971,1500.0,0.0,0.0,0
V7,66,I0019,0.0,1000.0,0.0,0
V7,66,I0985,1500.0,1000.0,0.0,0
V7,67,I0558,0.0,0.0,0.0,0
V7,67,I1489,1500.0,0.0,0.0,0
V7,67,I1993,0.0,1000.0,0.0,0
V7,67,I0779,1500.0,1000.0,0.0,0
V7,68,I0879,0.0,0.0,0.0,0
V7,68,I0173,1500.0,0.0,0.0,0
V7,68,I0746,0.0,1000.0,0.0,0
V7,68,I0082,1500.0,1000.0,0.0,0
V7,69,I1126,0.0,0.0,0.0,0
V7,69,I1260,1500.0,0.0,0.0,0
V7,69,I0304,0.0,1000.0,0.0,0
V7,69,I1702,1500.0,1000.0,0.0,0
V7,70,I0444,0.0,0.0,0.0,0
V7,70,I0329,1500.0,0.0,0.0,0
V7,70,I0185,0.0,1000.0,0.0,0
V7,70,I0027,1500.0,1000.0,0.0,0
V7,71,I0487,0.0,0.0,0.0,0
V7,71,I1405,1500.0,0.0,0.0,0
V7,71,I1712,0.0,1000.0,0.0,0
V7,71,I0439,1500.0,1000.0,0.0,0
V7,72,I1106,0.0,0.0,0.0,0
V7,72,I0321,1500.0,0.0,0.0,0
V7,72,I0871,0.0,1000.0,0.0,0
V7,72,I0677,1500.0,1000.0,0.0,0
V7,73,I0846,0.0,0.0,0.0,0
V7,73,I1884,1500.0,0.0,0.0,0
V7,73,I0438,0.0,1000.0,0.0,0
V7,73,I0792,1500.0,1000.0,0.0,0
V7,73,I1893,3000.0,0.0,0.0,1
V7,74,I0891,0.0,0.0,0.0,0
V7,74,I0313,1500.0,0.0,0.0,0
V7,74,I0696,0.0,1000.0,0.0,0
V7,74,I1621,1500.0,1000.0,0.0,0
V7,74,I1307,3000.0,0.0,0.0,1
V7,75,I1335,0.0,0.0,0.0,0
V7,75,I1048,1500.0,0.0,0.0,0
V7,75,I0934,0.0,1000.0,0.0,0
V7,75,I1774,1500.0,1000.0,0.0,0
V7,75,I0246,3000.0,0.0,0.0,1
V7,76,I0911,0.0,0.0,0.0,0
V7,76,I0102,1500.0,0.0,0.0,0
V7,76,I0078,0.0,1000.0,0.0,0
V7,76,I0834,1500.0,1000.0,0.0,0
V7,76,I1901,3000.0,0.0,0.0,1
V7,76,I0501,3000.0,1500.0,0.0,0
V7,77,I0409,0.0,0.0,0.0,0
V7,77,I0103,1500.0,0.0,0.0,0
V7,77,I1874,0.0,1000.0,0.0,0
V7,77,I0475,1500.0,1000.0,0.0,0
