type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V4,0,I0358,0.0,0.0,0.0,3
V4,0,I0057,0.0,1200.0,0.0,3
V4,0,I0786,2500.0,0.0,0.0,2
V4,0,I0186,3700.0,0.0,0.0,2
V4,0,I0742,4900.0,0.0,0.0,2
V4,0,I0526,6100.0,0.0,0.0,2
V4,0,I0394,7300.0,0.0,0.0,2
V4,0,I0189,0.0,0.0,1200.0,3
V4,0,I0610,0.0,1200.0,1200.0,3
V4,0,I0082,2500.0,0.0,1200.0,2
V4,0,I0125,3700.0,0.0,1200.0,2
V4,0,I0320,4900.0,0.0,1200.0,2
V4,0,I0046,6100.0,0.0,1200.0,2
V4,0,I0629,7300.0,0.0,1200.0,2
V4,0,I0353,0.0,2400.0,0.0,2
V4,0,I0795,1200.0,2400.0,0.0,2
V4,0,I0774,8500.0,0.0,0.0,3
V4,0,I0763,0.0,0.0,2400.0,0
V4,0,I0773,800.0,0.0,2400.0,0
V4,0,I0013,0.0,800.0,2400.0,0
V4,0,I0119,1600.0,0.0,2400.0,0
V4,0,I0198,800.0,800.0,2400.0,0
V4,0,I0307,2400.0,0.0,2400.0,0
V4,0,I0360,0.0,1600.0,2400.0,0
V4,0,I0451,1600.0,800.0,2400.0,0
V4,0,I0646,3200.0,0.0,2400.0,0
V4,0,I0744,800.0,1600.0,2400.0,0
V4,0,I0306,2400.0,800.0,2400.0,0
V4,0,I0743,4000.0,0.0,2400.0,0
V4,0,I0291,1600.0,1600.0,2400.0,0
V4,0,I0317,3200.0,800.0,2400.0,0
V4,0,I0022,4800.0,0.0,2400.0,0
V4,0,I0721,2400.0,1600.0,2400.0,0
V4,0,I0707,4000.0,800.0,2400.0,0
V4,0,I0499,5600.0,0.0,2400.0,0
V4,0,I0798,3000.0,1600.0,2400.0,0
V4,0,I0421,4600.0,800.0,2400.0,0
V4,0,I0059,6200.0,0.0,2400.0,0
V4,0,I0514,3600.0,1600.0,2400.0,0
V4,0,I0442,5200.0,800.0,2400.0,0
V4,0,I0168,6800.0,0.0,2400.0,0
V4,0,I0705,4200.0,1600.0,2400.0,0
V4,0,I0161,5800.0,800.0,2400.0,0
V4,0,I0292,7400.0,0.0,2400.0,0
V4,0,I0542,4800.0,1600.0,2400.0,0
V4,1,I0379,0.0,0.0,0.0,3
V4,1,I0775,0.0,1200.0,0.0,3
V4,1,I0020,2500.0,0.0,0.0,2
V4,1,I0130,3700.0,0.0,0.0,2
V4,1,I0784,4900.0,0.0,0.0,2
V4,1,I0606,6100.0,0.0,0.0,2
V4,1,I0275,7300.0,0.0,0.0,2
V4,1,I0429,0.0,0.0,1200.0,3
V4,1,I0482,0.0,1200.0,1200.0,3
V4,1,I0053,2500.0,0.0,1200.0,2
V4,1,I0295,3700.0,0.0,1200.0,2
V4,1,I0097,4900.0,0.0,1200.0,2
V4,1,I0091,6100.0,0.0,1200.0,2
V4,1,I0534,7300.0,0.0,1200.0,2
V4,1,I0115,0.0,2400.0,0.0,2
V4,1,I0761,1200.0,2400.0,0.0,2
V4,1,I0704,8500.0,0.0,0.0,3
V4,1,I0609,0.0,0.0,2400.0,0
V4,1,I0136,800.0,0.0,2400.0,0
V4,1,I0188,0.0,800.0,2400.0,0
V4,1,I0191,1600.0,0.0,2400.0,0
V4,1,I0215,800.0,800.0,2400.0,0
V4,1,I0258,2400.0,0.0,2400.0,0
V4,1,I0446,0.0,1600.0,2400.0,0
V4,1,I0579,1600.0,800.0,2400.0,0
V4,1,I0582,3200.0,0.0,2400.0,0
V4,1,I0728,800.0,1600.0,2400.0,0
V4,1,I0228,2400.0,800.0,2400.0,0
V4,1,I0689,4000.0,0.0,2400.0,0
V4,1,I0170,1600.0,1600.0,2400.0,0
V4,1,I0660,3200.0,800.0,2400.0,0
V4,1,I0065,4800.0,0.0,2400.0,0
V4,1,I0287,2400.0,1600.0,2400.0,0
V4,1,I0685,4000.0,800.0,2400.0,0
V4,1,I0419,5600.0,0.0,2400.0,0
V4,1,I0726,3000.0,1600.0,2400.0,0
V4,1,I0409,4600.0,800.0,2400.0,0
V4,1,I0018,6200.0,0.0,2400.0,0
V4,1,I0367,3600.0,1600.0,2400.0,0
V4,1,I0382,5200.0,800.0,2400.0,0
V4,1,I0090,6800.0,0.0,2400.0,0
V4,1,I0439,4200.0,1600.0,2400.0,0
V4,1,I0132,5800.0,800.0,2400.0,0
V4,1,I0121,7400.0,0.0,2400.0,0
V4,1,I0123,4800.0,1600.0,2400.0,0
V4,2,I0023,0.0,0.0,0.0,3
V4,2,I0240,0.0,1200.0,0.0,3
V4,2,I0366,2500.0,0.0,0.0,2
V4,2,I0467,3700.0,0.0,0.0,2
V4,2,I0139,4900.0,0.0,0.0,2
V4,2,I0553,6100.0,0.0,0.0,2
V4,2,I0113,7300.0,0.0,0.0,2
V4,2,I0282,0.0,0.0,1200.0,3
V4,2,I0045,0.0,1200.0,1200.0,3
V4,2,I0359,2500.0,0.0,1200.0,2
V4,2,I0219,3700.0,0.0,1200.0,2
V4,2,I0029,4900.0,0.0,1200.0,2
V4,2,I0050,6100.0,0.0,1200.0,2
V4,2,I0621,7300.0,0.0,1200.0,2
V4,2,I0748,0.0,2400.0,0.0,2
V4,2,I0475,1200.0,2400.0,0.0,2
V4,2,I0630,8500.0,0.0,0.0,3
V4,2,I0038,0.0,0.0,2400.0,0
V4,2,I0048,800.0,0.0,2400.0,0
V4,2,I0106,0.0,800.0,2400.0,0
V4,2,I0127,1600.0,0.0,2400.0,0
V4,2,I0164,800.0,800.0,2400.0,0
V4,2,I0207,2400.0,0.0,2400.0,0
V4,2,I0381,0.0,1600.0,2400.0,0
V4,2,I0487,1600.0,800.0,2400.0,0
V4,2,I0512,3200.0,0.0,2400.0,0
V4,2,I0348,800.0,1600.0,2400.0,0
V4,2,I0222,2400.0,800.0,2400.0,0
V4,2,I0686,4000.0,0.0,2400.0,0
V4,2,I0167,1600.0,1600.0,2400.0,0
V4,2,I0626,3200.0,800.0,2400.0,0
V4,2,I0720,4800.0,0.0,2400.0,0
V4,2,I0015,2400.0,1600.0,2400.0,0
V4,2,I0595,4000.0,800.0,2400.0,0
V4,2,I0328,5600.0,0.0,2400.0,0
V4,2,I0633,3000.0,1600.0,2400.0,0
V4,2,I0248,4600.0,800.0,2400.0,0
V4,2,I0719,6200.0,0.0,2400.0,0
V4,2,I0301,3600.0,1600.0,2400.0,0
V4,2,I0236,5200.0,800.0,2400.0,0
V4,2,I0054,6800.0,0.0,2400.0,0
V4,2,I0315,4200.0,1600.0,2400.0,0
V4,2,I0056,5800.0,800.0,2400.0,0
V4,2,I0093,7400.0,0.0,2400.0,0
V4,2,I0758,4800.0,1600.0,2400.0,0
V4,3,I0675,0.0,0.0,0.0,3
V4,3,I0701,0.0,1200.0,0.0,3
V4,3,I0217,2500.0,0.0,0.0,2
V4,3,I0044,3700.0,0.0,0.0,2
V4,3,I0169,4900.0,0.0,0.0,2
V4,3,I0699,6100.0,0.0,0.0,2
V4,3,I0741,7300.0,0.0,0.0,2
V4,3,I0114,0.0,0.0,1200.0,3
V4,3,I0563,0.0,1200.0,1200.0,3
V4,3,I0135,2500.0,0.0,1200.0,2
V4,3,I0485,3700.0,0.0,1200.0,2
V4,3,I0229,4900.0,0.0,1200.0,2
V4,3,I0653,6100.0,0.0,1200.0,2
V4,3,I0032,7300.0,0.0,1200.0,2
V4,3,I0178,0.0,2400.0,0.0,2
V4,3,I0423,1200.0,2400.0,0.0,2
V4,3,I0620,8500.0,0.0,0.0,3
V4,3,I0612,0.0,0.0,2400.0,0
V4,3,I0668,800.0,0.0,2400.0,0
V4,3,I0233,0.0,800.0,2400.0,0
V4,3,I0310,1600.0,0.0,2400.0,0
V4,3,I0344,800.0,800.0,2400.0,0
V4,3,I0614,2400.0,0.0,2400.0,0
V4,3,I0710,0.0,1600.0,2400.0,0
V4,3,I0736,1600.0,800.0,2400.0,0
V4,3,I0765,3200.0,0.0,2400.0,0
V4,3,I0268,800.0,1600.0,2400.0,0
V4,3,I0150,2400.0,800.0,2400.0,0
V4,3,I0670,4000.0,0.0,2400.0,0
V4,3,I0042,1600.0,1600.0,2400.0,0
V4,3,I0611,3200.0,800.0,2400.0,0
V4,3,I0683,4800.0,0.0,2400.0,0
